match_id,stage,team_a,team_b,score_a_90,score_b_90,went_to_penalties,penalty_winner,winner_final
M73,R32,RSA,CAN,0.0,1.0,False,,CAN
M74,R32,GER,PAR,1.0,1.0,True,PAR,PAR
M75,R32,NED,MAR,1.0,1.0,True,MAR,MAR
M76,R32,BRA,JPN,2.0,1.0,False,,BRA
M77,R32,FRA,SWE,3.0,0.0,False,,FRA
M78,R32,CIV,NOR,1.0,2.0,False,,NOR
M79,R32,MEX,ECU,2.0,0.0,False,,MEX
M80,R32,ENG,COD,2.0,1.0,False,,ENG
M81,R32,USA,BIH,2.0,0.0,False,,USA
M82,R32,BEL,SEN,2.0,2.0,False,,BEL
M83,R32,POR,CRO,2.0,1.0,False,,POR
M84,R32,ESP,AUT,3.0,0.0,False,,ESP
M85,R32,SUI,ALG,2.0,0.0,False,,SUI
M86,R32,ARG,CPV,1.0,1.0,False,,ARG
M87,R32,COL,GHA,1.0,0.0,False,,COL
M88,R32,AUS,EGY,1.0,1.0,True,EGY,EGY
M89,R16,PAR,FRA,0,1,False,,FRA
M90,R16,CAN,MAR,0,3,False,,MAR
M91,R16,BRA,NOR,1,2,False,,NOR
M92,R16,MEX,ENG,2,3,False,,ENG
M93,R16,POR,ESP,0,1,False,,ESP
M94,R16,USA,BEL,1,4,False,,BEL
M95,R16,ARG,EGY,3,2,False,,ARG
M96,R16,SUI,COL,0,0,True,SUI,SUI
M97,QF,FRA,MAR,2,0,False,,FRA
M98,QF,ESP,BEL,2,1,False,,ESP
M99,QF,NOR,ENG,1,1,False,,ENG
M100,QF,ARG,SUI,1,1,False,,ARG